# epochs mean_loss std_loss mean_test_loss std_test_loss mean_loss_grad std_loss_grad mean_test_loss_grad std_test_loss_grad
0.000000 0.070169 0.008357 0.050799 0.004216 0.062543 0.002026 0.054046 0.001477
1.000000 0.053439 0.004249 0.045591 0.003192 0.056753 0.001516 0.051530 0.001622
2.000000 0.048034 0.003436 0.044105 0.003754 0.054154 0.001746 0.049460 0.001939
3.000000 0.046319 0.004121 0.042144 0.003318 0.051902 0.002158 0.047734 0.002159
4.000000 0.044153 0.003688 0.039924 0.002124 0.049962 0.002424 0.046573 0.001934
5.000000 0.041781 0.002423 0.038323 0.001390 0.048603 0.002197 0.045800 0.001605
6.000000 0.040084 0.001557 0.037361 0.001608 0.047674 0.001813 0.045169 0.001654
7.000000 0.039075 0.001643 0.036758 0.002272 0.046951 0.001753 0.044504 0.001969
8.000000 0.038469 0.002223 0.036239 0.002680 0.046263 0.001982 0.043688 0.002244
9.000000 0.037977 0.002577 0.035559 0.002648 0.045473 0.002198 0.042799 0.002472
10.000000 0.037339 0.002510 0.034621 0.002370 0.044636 0.002379 0.041991 0.002574
11.000000 0.036443 0.002216 0.033566 0.002053 0.043886 0.002456 0.041333 0.002492
12.000000 0.035427 0.001898 0.032635 0.001796 0.043271 0.002370 0.040780 0.002308
13.000000 0.034530 0.001651 0.031979 0.001633 0.042753 0.002217 0.040248 0.002083
14.000000 0.033903 0.001507 0.031607 0.001534 0.042223 0.002010 0.039716 0.001759
15.000000 0.033557 0.001430 0.031431 0.001421 0.041684 0.001708 0.039290 0.001420
16.000000 0.033404 0.001339 0.031299 0.001259 0.041246 0.001376 0.038946 0.001152
17.000000 0.033295 0.001195 0.031089 0.001080 0.040890 0.001106 0.038595 0.000930
18.000000 0.033103 0.001034 0.030807 0.000903 0.040544 0.000916 0.038301 0.000789
19.000000 0.032833 0.000872 0.030515 0.000749 0.040256 0.000813 0.038086 0.000727
20.000000 0.032548 0.000729 0.030251 0.000664 0.040037 0.000767 0.037885 0.000690
21.000000 0.032285 0.000650 0.030036 0.000640 0.039836 0.000743 0.037713 0.000683
22.000000 0.032070 0.000629 0.029872 0.000644 0.039660 0.000719 0.037599 0.000669
23.000000 0.031905 0.000634 0.029736 0.000663 0.039549 0.000688 0.037512 0.000660
24.000000 0.031770 0.000652 0.029614 0.000673 0.039481 0.000681 0.037459 0.000706
25.000000 0.031649 0.000659 0.029495 0.000644 0.039426 0.000722 0.037380 0.000721
26.000000 0.031533 0.000629 0.029360 0.000582 0.039368 0.000775 0.037260 0.000660
27.000000 0.031401 0.000569 0.029200 0.000510 0.039215 0.000702 0.037118 0.000578
28.000000 0.031244 0.000502 0.029036 0.000446 0.039064 0.000631 0.036994 0.000557
29.000000 0.031080 0.000444 0.028892 0.000404 0.038948 0.000632 0.036822 0.000513
30.000000 0.030937 0.000409 0.028779 0.000392 0.038753 0.000568 0.036737 0.000573
31.000000 0.030824 0.000401 0.028697 0.000394 0.038645 0.000610 0.036594 0.000517
32.000000 0.030740 0.000406 0.028628 0.000401 0.038501 0.000562 0.036509 0.000490
33.000000 0.030669 0.000413 0.028554 0.000412 0.038412 0.000542 0.036431 0.000460
34.000000 0.030592 0.000425 0.028474 0.000414 0.038322 0.000502 0.036342 0.000435
35.000000 0.030508 0.000427 0.028396 0.000394 0.038234 0.000484 0.036245 0.000428
36.000000 0.030425 0.000409 0.028318 0.000366 0.038143 0.000495 0.036148 0.000421
37.000000 0.030343 0.000383 0.028239 0.000343 0.038035 0.000484 0.036084 0.000421
38.000000 0.030260 0.000364 0.028163 0.000328 0.037953 0.000479 0.035980 0.000397
39.000000 0.030179 0.000355 0.028090 0.000318 0.037844 0.000457 0.035886 0.000404
40.000000 0.030102 0.000350 0.028016 0.000309 0.037747 0.000465 0.035772 0.000414
41.000000 0.030025 0.000345 0.027939 0.000299 0.037615 0.000463 0.035681 0.000434
42.000000 0.029946 0.000339 0.027860 0.000292 0.037511 0.000473 0.035559 0.000437
43.000000 0.029864 0.000333 0.027785 0.000285 0.037392 0.000472 0.035458 0.000452
44.000000 0.029786 0.000326 0.027715 0.000280 0.037288 0.000482 0.035353 0.000468
45.000000 0.029712 0.000323 0.027650 0.000282 0.037171 0.000491 0.035232 0.000471
46.000000 0.029641 0.000327 0.027591 0.000290 0.037049 0.000499 0.035117 0.000469
47.000000 0.029574 0.000336 0.027533 0.000299 0.036939 0.000508 0.034996 0.000471
48.000000 0.029508 0.000346 0.027472 0.000308 0.036810 0.000510 0.034880 0.000491
49.000000 0.029440 0.000355 0.027407 0.000315 0.036692 0.000528 0.034740 0.000508
50.000000 0.029368 0.000362 0.027338 0.000322 0.036563 0.000545 0.034616 0.000525
51.000000 0.029293 0.000369 0.027269 0.000332 0.036434 0.000558 0.034508 0.000538
52.000000 0.029218 0.000378 0.027197 0.000342 0.036312 0.000573 0.034377 0.000543
53.000000 0.029142 0.000389 0.027122 0.000355 0.036178 0.000587 0.034259 0.000548
54.000000 0.029062 0.000403 0.027044 0.000371 0.036050 0.000604 0.034150 0.000551
55.000000 0.028981 0.000419 0.026966 0.000389 0.035925 0.000619 0.034022 0.000546
56.000000 0.028899 0.000437 0.026883 0.000410 0.035794 0.000626 0.033909 0.000544
57.000000 0.028812 0.000458 0.026796 0.000434 0.035666 0.000633 0.033811 0.000542
58.000000 0.028722 0.000481 0.026706 0.000462 0.035547 0.000638 0.033711 0.000539
59.000000 0.028628 0.000507 0.026612 0.000493 0.035435 0.000640 0.033628 0.000532
60.000000 0.028530 0.000536 0.026514 0.000527 0.035327 0.000636 0.033536 0.000520
61.000000 0.028430 0.000568 0.026413 0.000563 0.035223 0.000632 0.033459 0.000509
62.000000 0.028326 0.000602 0.026309 0.000598 0.035125 0.000629 0.033389 0.000497
63.000000 0.028217 0.000637 0.026200 0.000633 0.035036 0.000622 0.033327 0.000487
64.000000 0.028105 0.000671 0.026087 0.000667 0.034953 0.000618 0.033277 0.000488
65.000000 0.027987 0.000705 0.025971 0.000699 0.034877 0.000618 0.033226 0.000490
66.000000 0.027866 0.000738 0.025852 0.000729 0.034815 0.000627 0.033203 0.000523
67.000000 0.027741 0.000770 0.025732 0.000755 0.034771 0.000645 0.033181 0.000537
68.000000 0.027615 0.000800 0.025610 0.000777 0.034744 0.000667 0.033135 0.000525
69.000000 0.027487 0.000826 0.025488 0.000793 0.034682 0.000647 0.033086 0.000488
70.000000 0.027358 0.000848 0.025366 0.000802 0.034624 0.000626 0.033078 0.000464
71.000000 0.027229 0.000864 0.025245 0.000805 0.034609 0.000591 0.033037 0.000481
72.000000 0.027101 0.000874 0.025128 0.000800 0.034554 0.000604 0.032933 0.000489
73.000000 0.026975 0.000877 0.025014 0.000790 0.034441 0.000614 0.032848 0.000441
74.000000 0.026850 0.000874 0.024903 0.000776 0.034351 0.000565 0.032817 0.000486
75.000000 0.026729 0.000868 0.024795 0.000761 0.034305 0.000610 0.032777 0.000441
76.000000 0.026609 0.000859 0.024689 0.000745 0.034256 0.000565 0.032709 0.000475
