# epochs mean_loss std_loss mean_test_loss std_test_loss mean_loss_grad std_loss_grad mean_test_loss_grad std_test_loss_grad
0.000000 0.162977 0.003197 0.152066 0.001907 0.150274 0.000317 0.148328 0.000223
1.000000 0.152922 0.002066 0.144263 0.001361 0.149173 0.000242 0.147418 0.000356
2.000000 0.145058 0.001491 0.137906 0.001251 0.148247 0.000366 0.146403 0.000547
3.000000 0.138646 0.001348 0.132532 0.001379 0.147211 0.000547 0.145139 0.000768
4.000000 0.133217 0.001431 0.127690 0.001555 0.145919 0.000760 0.143543 0.001022
5.000000 0.128315 0.001560 0.122917 0.001732 0.144288 0.001009 0.141566 0.001314
6.000000 0.123477 0.001697 0.117941 0.001890 0.142270 0.001300 0.139198 0.001638
7.000000 0.118428 0.001830 0.112817 0.001985 0.139854 0.001627 0.136487 0.001968
8.000000 0.113228 0.001903 0.107868 0.001959 0.137089 0.001966 0.133567 0.002259
9.000000 0.108203 0.001846 0.103494 0.001766 0.134112 0.002270 0.130688 0.002458
10.000000 0.103758 0.001602 0.099994 0.001452 0.131175 0.002480 0.128193 0.002528
11.000000 0.100194 0.001208 0.097403 0.001254 0.128621 0.002552 0.126391 0.002429
12.000000 0.097547 0.000933 0.095517 0.001244 0.126760 0.002445 0.125314 0.002118
13.000000 0.095613 0.000909 0.094083 0.001216 0.125628 0.002129 0.124539 0.001724
14.000000 0.094137 0.000902 0.092872 0.001176 0.124803 0.001744 0.123486 0.001538
15.000000 0.092886 0.000919 0.091710 0.001147 0.123718 0.001571 0.122069 0.001445
16.000000 0.091682 0.000961 0.090539 0.001056 0.122293 0.001481 0.120594 0.001294
17.000000 0.090468 0.000930 0.089395 0.000892 0.120827 0.001328 0.119373 0.001139
18.000000 0.089285 0.000821 0.088339 0.000722 0.119620 0.001166 0.118537 0.000991
19.000000 0.088194 0.000698 0.087411 0.000605 0.118799 0.001012 0.118043 0.000827
20.000000 0.087239 0.000608 0.086628 0.000547 0.118319 0.000845 0.117769 0.000658
21.000000 0.086437 0.000558 0.085978 0.000523 0.118057 0.000681 0.117595 0.000510
22.000000 0.085777 0.000540 0.085424 0.000521 0.117888 0.000541 0.117438 0.000395
23.000000 0.085221 0.000545 0.084922 0.000540 0.117727 0.000437 0.117262 0.000313
24.000000 0.084721 0.000566 0.084435 0.000564 0.117534 0.000363 0.117064 0.000255
25.000000 0.084236 0.000584 0.083943 0.000567 0.117309 0.000304 0.116865 0.000216
26.000000 0.083746 0.000581 0.083445 0.000545 0.117077 0.000247 0.116690 0.000203
