# epochs mean_loss std_loss mean_test_loss std_test_loss mean_loss_grad std_loss_grad mean_test_loss_grad std_test_loss_grad
0.000000 0.108210 0.011134 0.108373 0.010941 0.099951 0.001259 0.100146 0.001251
1.000000 0.079452 0.007452 0.079738 0.007291 0.086506 0.002593 0.086761 0.002594
2.000000 0.059806 0.003748 0.060242 0.003645 0.068253 0.004487 0.068595 0.004490
3.000000 0.053557 0.003758 0.054161 0.003829 0.050013 0.003380 0.050478 0.003425
4.000000 0.044060 0.004689 0.044637 0.004762 0.046303 0.005343 0.046795 0.005377
5.000000 0.033135 0.003487 0.033534 0.003512 0.035119 0.004008 0.035512 0.003995
6.000000 0.029154 0.002154 0.029325 0.002161 0.026056 0.002870 0.026326 0.002916
7.000000 0.028232 0.001977 0.028238 0.001980 0.024176 0.002657 0.024321 0.002686
8.000000 0.027177 0.001711 0.027112 0.001745 0.022651 0.001648 0.022719 0.001638
9.000000 0.024922 0.001266 0.024861 0.001312 0.018960 0.002728 0.018998 0.002729
10.000000 0.021957 0.001502 0.021936 0.001531 0.015154 0.003122 0.015197 0.003120
11.000000 0.019488 0.001675 0.019500 0.001694 0.012295 0.002815 0.012389 0.002801
12.000000 0.017949 0.001480 0.017976 0.001505 0.010060 0.002123 0.010223 0.002127
13.000000 0.016939 0.001308 0.016960 0.001363 0.009620 0.002109 0.009810 0.002140
14.000000 0.015850 0.001360 0.015846 0.001434 0.009894 0.001231 0.010073 0.001275
15.000000 0.014550 0.001319 0.014506 0.001399 0.008637 0.001227 0.008790 0.001287
16.000000 0.013311 0.001098 0.013225 0.001172 0.006608 0.001468 0.006731 0.001512
17.000000 0.012381 0.000835 0.012261 0.000882 0.005432 0.001397 0.005516 0.001421
18.000000 0.011690 0.000740 0.011543 0.000755 0.004778 0.000839 0.004814 0.000850
19.000000 0.011043 0.000654 0.010875 0.000667 0.004302 0.000659 0.004304 0.000650
20.000000 0.010492 0.000633 0.010311 0.000643 0.004261 0.000520 0.004251 0.000514
21.000000 0.010063 0.000695 0.009876 0.000686 0.004086 0.000580 0.004077 0.000580
22.000000 0.009627 0.000639 0.009440 0.000622 0.003375 0.000684 0.003375 0.000686
23.000000 0.009141 0.000573 0.008963 0.000562 0.002739 0.000581 0.002747 0.000586
24.000000 0.008671 0.000583 0.008512 0.000578 0.002559 0.000459 0.002571 0.000459
25.000000 0.008271 0.000612 0.008131 0.000609 0.002460 0.000411 0.002473 0.000413
26.000000 0.007926 0.000657 0.007798 0.000644 0.002268 0.000411 0.002278 0.000414
27.000000 0.007596 0.000727 0.007477 0.000704 0.002215 0.000377 0.002223 0.000378
28.000000 0.007236 0.000790 0.007123 0.000760 0.002106 0.000507 0.002113 0.000510
29.000000 0.006836 0.000799 0.006728 0.000762 0.001799 0.000516 0.001806 0.000517
30.000000 0.006432 0.000752 0.006329 0.000715 0.001581 0.000366 0.001591 0.000370
31.000000 0.006047 0.000708 0.005948 0.000678 0.001485 0.000319 0.001498 0.000323
32.000000 0.005709 0.000706 0.005613 0.000687 0.001380 0.000288 0.001394 0.000291
33.000000 0.005416 0.000746 0.005324 0.000739 0.001273 0.000269 0.001286 0.000270
34.000000 0.005126 0.000782 0.005038 0.000783 0.001225 0.000310 0.001235 0.000307
35.000000 0.004828 0.000771 0.004746 0.000775 0.001140 0.000319 0.001147 0.000316
36.000000 0.004544 0.000729 0.004469 0.000730 0.000973 0.000166 0.000980 0.000163
