# epochs mean_loss std_loss mean_test_loss std_test_loss mean_loss_grad std_loss_grad mean_test_loss_grad std_test_loss_grad
0.000000 0.151468 0.000874 0.117495 0.000916 0.149937 0.000091 0.142410 0.001159
1.000000 0.117945 0.000996 0.095079 0.002240 0.143053 0.001136 0.148769 0.014646
2.000000 0.095090 0.002125 0.105896 0.004644 0.149491 0.014581 0.167810 0.020690
3.000000 0.105727 0.004773 0.091936 0.001794 0.167912 0.020613 0.131398 0.004360
4.000000 0.092039 0.001830 0.092081 0.001653 0.131791 0.004317 0.133814 0.001683
5.000000 0.092216 0.001552 0.091222 0.002124 0.134455 0.001699 0.136811 0.003045
6.000000 0.091301 0.002110 0.087420 0.001976 0.137559 0.003093 0.134996 0.004711
7.000000 0.087399 0.002018 0.084228 0.001676 0.135774 0.004786 0.131466 0.004990
8.000000 0.084055 0.001713 0.082368 0.000832 0.132215 0.005119 0.127765 0.004530
9.000000 0.081961 0.000857 0.081493 0.000675 0.128430 0.004711 0.124026 0.003789
10.000000 0.080879 0.000665 0.080724 0.000530 0.124568 0.004017 0.122098 0.002586
11.000000 0.080027 0.000545 0.079668 0.000714 0.122480 0.002708 0.120821 0.001404
12.000000 0.079010 0.000742 0.078587 0.000614 0.121055 0.001426 0.120131 0.002093
13.000000 0.077978 0.000596 0.077573 0.000540 0.120245 0.001979 0.119401 0.001997
14.000000 0.076949 0.000503 0.076740 0.000555 0.119504 0.001963 0.118249 0.001347
15.000000 0.076049 0.000561 0.075890 0.000358 0.118409 0.001354 0.117715 0.000787
16.000000 0.075107 0.000373 0.074837 0.000391 0.117927 0.000761 0.117635 0.000663
17.000000 0.073956 0.000410 0.073930 0.000619 0.117877 0.000744 0.117451 0.000703
18.000000 0.072920 0.000632 0.072903 0.000570 0.117693 0.000835 0.117119 0.000878
19.000000 0.071737 0.000580 0.071733 0.000549 0.117327 0.000902 0.116677 0.000847
20.000000 0.070460 0.000531 0.070388 0.000708 0.116827 0.000827 0.116273 0.000860
21.000000 0.069050 0.000676 0.069033 0.000838 0.116359 0.000791 0.115953 0.000747
22.000000 0.067625 0.000809 0.067619 0.000905 0.115994 0.000657 0.115703 0.000534
23.000000 0.066118 0.000895 0.066038 0.000951 0.115723 0.000475 0.115439 0.000394
24.000000 0.064475 0.000960 0.064294 0.001019 0.115459 0.000368 0.115136 0.000431
25.000000 0.062680 0.001033 0.062458 0.001140 0.115166 0.000433 0.114949 0.000384
26.000000 0.060777 0.001154 0.060696 0.001226 0.114981 0.000392 0.114843 0.000374
27.000000 0.058893 0.001261 0.059054 0.001212 0.114870 0.000394 0.114699 0.000393
28.000000 0.057078 0.001259 0.057641 0.001112 0.114716 0.000426 0.114524 0.000381
29.000000 0.055507 0.001150 0.056632 0.000842 0.114527 0.000438 0.114383 0.000343
30.000000 0.054343 0.000878 0.056015 0.000527 0.114365 0.000413 0.114253 0.000402
31.000000 0.053590 0.000536 0.055728 0.000269 0.114207 0.000483 0.114120 0.000382
32.000000 0.053209 0.000278 0.055613 0.000241 0.114040 0.000477 0.113982 0.000314
33.000000 0.052991 0.000252 0.055402 0.000170 0.113862 0.000405 0.113853 0.000311
34.000000 0.052700 0.000225 0.054958 0.000339 0.113691 0.000393 0.113762 0.000284
35.000000 0.052239 0.000435 0.054381 0.000438 0.113560 0.000379 0.113673 0.000280
36.000000 0.051585 0.000591 0.053705 0.000470 0.113437 0.000369 0.113576 0.000266
37.000000 0.050888 0.000550 0.053227 0.000453 0.113308 0.000363 0.113518 0.000257
38.000000 0.050373 0.000507 0.052798 0.000384 0.113213 0.000351 0.113453 0.000254
39.000000 0.049891 0.000416 0.052433 0.000330 0.113104 0.000354 0.113374 0.000233
40.000000 0.049498 0.000360 0.052164 0.000294 0.112985 0.000326 0.113285 0.000187
41.000000 0.049172 0.000329 0.051929 0.000288 0.112871 0.000283 0.113204 0.000186
42.000000 0.048863 0.000342 0.051654 0.000302 0.112778 0.000285 0.113138 0.000173
43.000000 0.048521 0.000386 0.051417 0.000315 0.112700 0.000265 0.113066 0.000154
44.000000 0.048171 0.000426 0.051168 0.000315 0.112606 0.000237 0.113025 0.000160
45.000000 0.047831 0.000433 0.050937 0.000329 0.112536 0.000238 0.112983 0.000144
46.000000 0.047476 0.000439 0.050695 0.000292 0.112467 0.000221 0.112920 0.000119
47.000000 0.047128 0.000428 0.050435 0.000287 0.112383 0.000197 0.112885 0.000130
48.000000 0.046725 0.000426 0.050209 0.000281 0.112330 0.000199 0.112851 0.000125
49.000000 0.046356 0.000442 0.050002 0.000271 0.112276 0.000186 0.112812 0.000121
50.000000 0.046024 0.000438 0.049829 0.000269 0.112213 0.000177 0.112781 0.000108
51.000000 0.045694 0.000443 0.049613 0.000292 0.112162 0.000185 0.112733 0.000094
52.000000 0.045336 0.000460 0.049439 0.000294 0.112102 0.000175 0.112693 0.000100
53.000000 0.045025 0.000455 0.049270 0.000309 0.112049 0.000170 0.112678 0.000107
54.000000 0.044709 0.000456 0.049050 0.000330 0.112007 0.000167 0.112664 0.000099
55.000000 0.044378 0.000465 0.048852 0.000324 0.111952 0.000160 0.112663 0.000098
56.000000 0.044054 0.000468 0.048679 0.000317 0.111908 0.000165 0.112652 0.000097
57.000000 0.043745 0.000465 0.048473 0.000325 0.111867 0.000165 0.112622 0.000093
58.000000 0.043425 0.000468 0.048301 0.000320 0.111820 0.000161 0.112607 0.000092
59.000000 0.043103 0.000471 0.048156 0.000318 0.111784 0.000165 0.112591 0.000084
60.000000 0.042815 0.000465 0.048027 0.000342 0.111742 0.000169 0.112573 0.000079
61.000000 0.042548 0.000480 0.047948 0.000452 0.111701 0.000174 0.112548 0.000081
62.000000 0.042309 0.000563 0.047915 0.000607 0.111660 0.000179 0.112519 0.000079
63.000000 0.042121 0.000779 0.047879 0.000903 0.111617 0.000180 0.112507 0.000081
64.000000 0.041893 0.001045 0.047745 0.000887 0.111580 0.000185 0.112499 0.000088
