# epochs mean_loss std_loss mean_test_loss std_test_loss mean_loss_grad std_loss_grad mean_test_loss_grad std_test_loss_grad
0.000000 0.014091 0.001828 0.013836 0.001810 0.008605 0.000167 0.008377 0.000164
1.000000 0.007776 0.000835 0.007583 0.000813 0.007441 0.000203 0.007235 0.000198
2.000000 0.006408 0.000398 0.006269 0.000406 0.006697 0.000142 0.006527 0.000144
3.000000 0.006105 0.000387 0.005980 0.000380 0.006635 0.000194 0.006487 0.000202
4.000000 0.005282 0.000280 0.005151 0.000273 0.006172 0.000097 0.006010 0.000094
5.000000 0.004887 0.000306 0.004752 0.000287 0.006073 0.000106 0.005905 0.000104
6.000000 0.004569 0.000297 0.004438 0.000281 0.005830 0.000135 0.005670 0.000132
7.000000 0.004234 0.000248 0.004111 0.000233 0.005556 0.000106 0.005410 0.000103
8.000000 0.004011 0.000225 0.003897 0.000210 0.005408 0.000149 0.005269 0.000149
9.000000 0.003842 0.000223 0.003736 0.000213 0.005273 0.000123 0.005134 0.000124
10.000000 0.003632 0.000218 0.003532 0.000212 0.005142 0.000107 0.005000 0.000106
11.000000 0.003391 0.000197 0.003295 0.000192 0.005019 0.000104 0.004877 0.000101
12.000000 0.003185 0.000175 0.003092 0.000172 0.004920 0.000097 0.004782 0.000094
13.000000 0.003028 0.000175 0.002937 0.000172 0.004837 0.000087 0.004703 0.000085
14.000000 0.002882 0.000198 0.002794 0.000191 0.004753 0.000085 0.004622 0.000083
15.000000 0.002722 0.000222 0.002639 0.000211 0.004678 0.000070 0.004550 0.000072
16.000000 0.002553 0.000234 0.002475 0.000220 0.004610 0.000059 0.004483 0.000061
17.000000 0.002381 0.000231 0.002307 0.000216 0.004553 0.000067 0.004426 0.000069
18.000000 0.002219 0.000222 0.002150 0.000208 0.004503 0.000062 0.004377 0.000063
19.000000 0.002078 0.000206 0.002013 0.000194 0.004458 0.000060 0.004334 0.000061
20.000000 0.001948 0.000186 0.001888 0.000176 0.004416 0.000055 0.004294 0.000055
21.000000 0.001829 0.000175 0.001773 0.000165 0.004377 0.000052 0.004256 0.000051
22.000000 0.001718 0.000176 0.001665 0.000165 0.004339 0.000054 0.004218 0.000053
23.000000 0.001623 0.000165 0.001572 0.000150 0.004300 0.000054 0.004180 0.000053
24.000000 0.001541 0.000147 0.001492 0.000134 0.004268 0.000057 0.004148 0.000057
25.000000 0.001491 0.000099 0.001444 0.000088 0.004239 0.000056 0.004120 0.000056
26.000000 0.001602 0.000343 0.001559 0.000347 0.004207 0.000053 0.004090 0.000052
27.000000 0.001487 0.000240 0.001444 0.000227 0.004175 0.000051 0.004060 0.000050
28.000000 0.001381 0.000229 0.001344 0.000217 0.004149 0.000049 0.004036 0.000048
29.000000 0.001308 0.000100 0.001276 0.000092 0.004124 0.000048 0.004011 0.000047
30.000000 0.001367 0.000251 0.001335 0.000242 0.004101 0.000046 0.003988 0.000045
31.000000 0.001325 0.000244 0.001296 0.000238 0.004076 0.000042 0.003964 0.000041
32.000000 0.001250 0.000251 0.001222 0.000238 0.004050 0.000038 0.003942 0.000037
33.000000 0.001196 0.000189 0.001166 0.000174 0.004031 0.000035 0.003925 0.000034
34.000000 0.001136 0.000196 0.001113 0.000185 0.004013 0.000033 0.003910 0.000034
35.000000 0.001077 0.000180 0.001061 0.000174 0.003998 0.000032 0.003895 0.000034
36.000000 0.001044 0.000157 0.001026 0.000146 0.003984 0.000029 0.003881 0.000032
37.000000 0.001017 0.000188 0.001000 0.000178 0.003972 0.000027 0.003870 0.000030
38.000000 0.000959 0.000147 0.000947 0.000137 0.003967 0.000038 0.003866 0.000038
39.000000 0.000936 0.000164 0.000927 0.000156 0.003957 0.000038 0.003857 0.000038
40.000000 0.000901 0.000159 0.000892 0.000151 0.003935 0.000023 0.003835 0.000026
41.000000 0.000878 0.000165 0.000869 0.000156 0.003926 0.000024 0.003827 0.000026
42.000000 0.000841 0.000166 0.000834 0.000156 0.003921 0.000027 0.003824 0.000028
43.000000 0.000809 0.000156 0.000806 0.000147 0.003907 0.000020 0.003811 0.000021
44.000000 0.000777 0.000156 0.000774 0.000149 0.003902 0.000020 0.003807 0.000021
45.000000 0.000759 0.000161 0.000756 0.000155 0.003892 0.000018 0.003798 0.000020
46.000000 0.000727 0.000156 0.000726 0.000148 0.003887 0.000018 0.003794 0.000020
47.000000 0.000697 0.000152 0.000697 0.000143 0.003878 0.000017 0.003785 0.000019
48.000000 0.000673 0.000156 0.000675 0.000147 0.003870 0.000016 0.003777 0.000015
49.000000 0.000655 0.000154 0.000657 0.000146 0.003864 0.000015 0.003772 0.000014
50.000000 0.000623 0.000154 0.000627 0.000147 0.003859 0.000015 0.003768 0.000015
51.000000 0.000603 0.000150 0.000610 0.000143 0.003853 0.000015 0.003763 0.000014
52.000000 0.000580 0.000153 0.000588 0.000147 0.003847 0.000014 0.003758 0.000014
53.000000 0.000557 0.000148 0.000565 0.000143 0.003842 0.000014 0.003754 0.000014
54.000000 0.000536 0.000148 0.000545 0.000143 0.003837 0.000013 0.003748 0.000014
55.000000 0.000515 0.000149 0.000526 0.000144 0.003831 0.000013 0.003743 0.000014
56.000000 0.000494 0.000144 0.000505 0.000139 0.003826 0.000012 0.003739 0.000013
57.000000 0.000474 0.000143 0.000485 0.000139 0.003822 0.000011 0.003736 0.000012
58.000000 0.000457 0.000142 0.000468 0.000138 0.003817 0.000011 0.003732 0.000011
59.000000 0.000437 0.000138 0.000450 0.000135 0.003813 0.000011 0.003729 0.000011
60.000000 0.000420 0.000133 0.000432 0.000132 0.003809 0.000011 0.003725 0.000010
61.000000 0.000404 0.000131 0.000417 0.000131 0.003805 0.000010 0.003722 0.000010
62.000000 0.000387 0.000127 0.000400 0.000127 0.003800 0.000011 0.003719 0.000011
63.000000 0.000370 0.000121 0.000384 0.000122 0.003798 0.000011 0.003717 0.000012
64.000000 0.000356 0.000118 0.000370 0.000119 0.003795 0.000012 0.003715 0.000013
65.000000 0.000342 0.000113 0.000355 0.000114 0.003792 0.000013 0.003712 0.000013
66.000000 0.000327 0.000108 0.000340 0.000109 0.003786 0.000010 0.003708 0.000011
67.000000 0.000314 0.000102 0.000327 0.000104 0.003782 0.000008 0.003704 0.000009
68.000000 0.000301 0.000097 0.000315 0.000100 0.003779 0.000008 0.003702 0.000009
69.000000 0.000289 0.000091 0.000302 0.000094 0.003777 0.000009 0.003700 0.000010
70.000000 0.000277 0.000086 0.000289 0.000089 0.003774 0.000008 0.003698 0.000009
71.000000 0.000266 0.000081 0.000278 0.000083 0.003770 0.000008 0.003695 0.000007
72.000000 0.000255 0.000076 0.000267 0.000079 0.003768 0.000008 0.003694 0.000007
73.000000 0.000245 0.000071 0.000257 0.000074 0.003767 0.000010 0.003692 0.000008
74.000000 0.000236 0.000068 0.000247 0.000070 0.003763 0.000009 0.003690 0.000008
75.000000 0.000227 0.000063 0.000238 0.000066 0.003759 0.000008 0.003687 0.000009
76.000000 0.000219 0.000059 0.000230 0.000062 0.003756 0.000010 0.003684 0.000010
77.000000 0.000211 0.000057 0.000222 0.000059 0.003757 0.000014 0.003686 0.000013
78.000000 0.000204 0.000053 0.000214 0.000055 0.003758 0.000022 0.003687 0.000020
79.000000 0.000198 0.000051 0.000207 0.000053 0.003758 0.000024 0.003689 0.000023
80.000000 0.000192 0.000048 0.000201 0.000050 0.003758 0.000028 0.003689 0.000028
81.000000 0.000186 0.000046 0.000195 0.000047 0.003758 0.000037 0.003690 0.000036
82.000000 0.000181 0.000044 0.000190 0.000045 0.003750 0.000022 0.003682 0.000021
83.000000 0.000176 0.000042 0.000185 0.000043 0.003744 0.000013 0.003676 0.000012
84.000000 0.000171 0.000040 0.000179 0.000041 0.003749 0.000025 0.003682 0.000026
85.000000 0.000167 0.000038 0.000175 0.000039 0.003745 0.000017 0.003679 0.000017
86.000000 0.000163 0.000036 0.000170 0.000037 0.003747 0.000019 0.003681 0.000018
87.000000 0.000159 0.000035 0.000166 0.000035 0.003745 0.000019 0.003680 0.000018
88.000000 0.000155 0.000033 0.000162 0.000033 0.003741 0.000028 0.003676 0.000025
89.000000 0.000151 0.000032 0.000158 0.000032 0.003733 0.000015 0.003670 0.000014
90.000000 0.000148 0.000030 0.000155 0.000030 0.003727 0.000009 0.003665 0.000009
91.000000 0.000145 0.000029 0.000152 0.000029 0.003731 0.000019 0.003668 0.000018
92.000000 0.000141 0.000028 0.000148 0.000028 0.003723 0.000007 0.003661 0.000006
93.000000 0.000138 0.000027 0.000145 0.000027 0.003722 0.000008 0.003661 0.000008
94.000000 0.000136 0.000026 0.000143 0.000026 0.003721 0.000014 0.003660 0.000013
95.000000 0.000133 0.000025 0.000140 0.000024 0.003713 0.000006 0.003654 0.000005
96.000000 0.000130 0.000024 0.000137 0.000024 0.003716 0.000009 0.003657 0.000008
97.000000 0.000128 0.000023 0.000135 0.000023 0.003711 0.000009 0.003653 0.000009
98.000000 0.000126 0.000022 0.000133 0.000022 0.003708 0.000009 0.003650 0.000009
99.000000 0.000124 0.000021 0.000130 0.000021 0.003706 0.000009 0.003649 0.000008
100.000000 0.000122 0.000021 0.000128 0.000021 0.003702 0.000009 0.003645 0.000007
101.000000 0.000120 0.000020 0.000126 0.000020 0.003700 0.000007 0.003644 0.000006
102.000000 0.000118 0.000019 0.000124 0.000019 0.003700 0.000009 0.003645 0.000008
103.000000 0.000116 0.000019 0.000123 0.000019 0.003695 0.000007 0.003641 0.000007
104.000000 0.000114 0.000018 0.000121 0.000018 0.003694 0.000007 0.003640 0.000007
105.000000 0.000113 0.000017 0.000120 0.000017 0.003694 0.000008 0.003641 0.000008
106.000000 0.000113 0.000017 0.000119 0.000017 0.003690 0.000007 0.003637 0.000008
107.000000 0.000113 0.000018 0.000120 0.000019 0.003693 0.000012 0.003640 0.000013
108.000000 0.000115 0.000025 0.000121 0.000023 0.003695 0.000028 0.003643 0.000028
109.000000 0.000109 0.000016 0.000116 0.000017 0.003692 0.000028 0.003641 0.000028
110.000000 0.000105 0.000016 0.000111 0.000016 0.003683 0.000008 0.003633 0.000008
111.000000 0.000105 0.000015 0.000111 0.000015 0.003681 0.000009 0.003632 0.000010
112.000000 0.000105 0.000015 0.000111 0.000016 0.003684 0.000019 0.003636 0.000020
113.000000 0.000103 0.000015 0.000109 0.000014 0.003678 0.000008 0.003630 0.000008
114.000000 0.000100 0.000014 0.000106 0.000014 0.003676 0.000008 0.003629 0.000009
115.000000 0.000100 0.000014 0.000106 0.000014 0.003677 0.000014 0.003631 0.000016
116.000000 0.000100 0.000014 0.000106 0.000014 0.003670 0.000007 0.003624 0.000007
117.000000 0.000096 0.000013 0.000103 0.000013 0.003670 0.000010 0.003624 0.000009
118.000000 0.000096 0.000013 0.000102 0.000013 0.003666 0.000008 0.003622 0.000008
119.000000 0.000097 0.000014 0.000103 0.000014 0.003663 0.000007 0.003619 0.000007
120.000000 0.000096 0.000015 0.000102 0.000015 0.003662 0.000009 0.003619 0.000010
121.000000 0.000096 0.000021 0.000102 0.000019 0.003659 0.000008 0.003616 0.000008
122.000000 0.000098 0.000023 0.000104 0.000023 0.003658 0.000009 0.003617 0.000010
123.000000 0.000094 0.000019 0.000101 0.000018 0.003657 0.000009 0.003616 0.000010
